instrument_id,article_slug,topic
instr-customary-international-law-1,,
instr-customary-international-law-10,,
instr-customary-international-law-2,,
instr-customary-international-law-3,,
instr-customary-international-law-4,,
instr-customary-international-law-5,,
instr-customary-international-law-6,,
instr-customary-international-law-7,,
instr-customary-international-law-8,,
instr-customary-international-law-9,,
instr-fragmentation-and-coherence-1,,
instr-fragmentation-and-coherence-10,,
instr-fragmentation-and-coherence-2,,
instr-fragmentation-and-coherence-3,,
instr-fragmentation-and-coherence-4,,
instr-fragmentation-and-coherence-5,,
instr-fragmentation-and-coherence-6,,
instr-fragmentation-and-coherence-7,,
instr-fragmentation-and-coherence-8,,
instr-fragmentation-and-coherence-9,,
instr-general-principles-of-law-1,,
instr-general-principles-of-law-2,,
instr-general-principles-of-law-3,,
instr-general-principles-of-law-4,,
instr-general-principles-of-law-5,,
instr-general-principles-of-law-6,,
instr-general-principles-of-law-7,,
instr-general-principles-of-law-8,,
instr-general-principles-of-law-9,,
instr-human-rights-international-law-1,,
instr-human-rights-international-law-10,,
instr-human-rights-international-law-11,,
instr-human-rights-international-law-12,,
instr-human-rights-international-law-13,,
instr-human-rights-international-law-14,,
instr-human-rights-international-law-15,,
instr-human-rights-international-law-16,,
instr-human-rights-international-law-17,,
instr-human-rights-international-law-18,,
instr-human-rights-international-law-19,,
instr-human-rights-international-law-2,,
instr-human-rights-international-law-3,,
instr-human-rights-international-law-4,,
instr-human-rights-international-law-5,,
instr-human-rights-international-law-6,,
instr-human-rights-international-law-7,,
instr-human-rights-international-law-8,,
instr-human-rights-international-law-9,,
instr-international-courts-and-tribunals-1,,
instr-international-courts-and-tribunals-10,,
instr-international-courts-and-tribunals-11,,
instr-international-courts-and-tribunals-12,,
instr-international-courts-and-tribunals-13,,
instr-international-courts-and-tribunals-14,,
instr-international-courts-and-tribunals-15,,
instr-international-courts-and-tribunals-16,,
instr-international-courts-and-tribunals-17,,
instr-international-courts-and-tribunals-18,,
instr-international-courts-and-tribunals-19,,
instr-international-courts-and-tribunals-2,,
instr-international-courts-and-tribunals-3,,
instr-international-courts-and-tribunals-4,,
instr-international-courts-and-tribunals-5,,
instr-international-courts-and-tribunals-6,,
instr-international-courts-and-tribunals-7,,
instr-international-courts-and-tribunals-8,,
instr-international-courts-and-tribunals-9,,
instr-introduction-to-international-law-1,,
instr-introduction-to-international-law-2,,
instr-introduction-to-international-law-3,,
instr-introduction-to-international-law-4,,
instr-introduction-to-international-law-5,,
instr-introduction-to-international-law-6,,
instr-jurisdiction-in-international-law-1,,
instr-jurisdiction-in-international-law-10,,
instr-jurisdiction-in-international-law-11,,
instr-jurisdiction-in-international-law-12,,
instr-jurisdiction-in-international-law-13,,
instr-jurisdiction-in-international-law-14,,
instr-jurisdiction-in-international-law-2,,
instr-jurisdiction-in-international-law-3,,
instr-jurisdiction-in-international-law-4,,
instr-jurisdiction-in-international-law-5,,
instr-jurisdiction-in-international-law-6,,
instr-jurisdiction-in-international-law-7,,
instr-jurisdiction-in-international-law-8,,
instr-jurisdiction-in-international-law-9,,
instr-jus-cogens-erga-omnes-1,,
instr-jus-cogens-erga-omnes-10,,
instr-jus-cogens-erga-omnes-2,,
instr-jus-cogens-erga-omnes-3,,
instr-jus-cogens-erga-omnes-4,,
instr-jus-cogens-erga-omnes-5,,
instr-jus-cogens-erga-omnes-6,,
instr-jus-cogens-erga-omnes-7,,
instr-jus-cogens-erga-omnes-8,,
instr-jus-cogens-erga-omnes-9,,
instr-law-of-the-sea-unclos-1,,
instr-law-of-the-sea-unclos-10,,
instr-law-of-the-sea-unclos-11,,
instr-law-of-the-sea-unclos-12,,
instr-law-of-the-sea-unclos-13,,
instr-law-of-the-sea-unclos-14,,
instr-law-of-the-sea-unclos-15,,
instr-law-of-the-sea-unclos-16,,
instr-law-of-the-sea-unclos-17,,
instr-law-of-the-sea-unclos-18,,
instr-law-of-the-sea-unclos-2,,
instr-law-of-the-sea-unclos-3,,
instr-law-of-the-sea-unclos-4,,
instr-law-of-the-sea-unclos-5,,
instr-law-of-the-sea-unclos-6,,
instr-law-of-the-sea-unclos-7,,
instr-law-of-the-sea-unclos-8,,
instr-law-of-the-sea-unclos-9,,
instr-public-vs-private-international-law-1,,
instr-public-vs-private-international-law-10,,
instr-public-vs-private-international-law-11,,
instr-public-vs-private-international-law-12,,
instr-public-vs-private-international-law-13,,
instr-public-vs-private-international-law-14,,
instr-public-vs-private-international-law-2,,
instr-public-vs-private-international-law-3,,
instr-public-vs-private-international-law-4,,
instr-public-vs-private-international-law-5,,
instr-public-vs-private-international-law-6,,
instr-public-vs-private-international-law-7,,
instr-public-vs-private-international-law-8,,
instr-public-vs-private-international-law-9,,
instr-reservations-interpretation-validity-1,,
instr-reservations-interpretation-validity-10,,
instr-reservations-interpretation-validity-2,,
instr-reservations-interpretation-validity-3,,
instr-reservations-interpretation-validity-4,,
instr-reservations-interpretation-validity-5,,
instr-reservations-interpretation-validity-6,,
instr-reservations-interpretation-validity-7,,
instr-reservations-interpretation-validity-8,,
instr-reservations-interpretation-validity-9,,
instr-secession-recognition-contested-statehood-secession-recognition-contested-statehood-primary-001,,
instr-secession-recognition-contested-statehood-secession-recognition-contested-statehood-primary-002,,
